City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
447,west wendover,US,84.2,40.74,-114.07,"Motel 6 Wendover, UT"
449,polur,IN,85.26,12.5,79.13,Sagar choubey
450,treinta y tres,UY,70.41,-33.23,-54.38,Jardines Apart-Hotel
454,marakkanam,IN,85.28,12.2,79.95,OYO 73765 Ocean Breeze Guest House
456,surt,LY,72.41,31.21,16.59,City Hotel
457,ankang,CN,66.34,32.68,109.02,安琪酒店
458,panama city,PA,86.0,8.99,-79.52,Trump International Hotel & Tower Panama
462,balikpapan,ID,76.82,-1.27,116.83,Grand Jatra Hotel Balikpapan
463,shiojiri,JP,68.0,36.1,137.97,Hotel Route-Inn Shiojiri
466,zhezkazgan,KZ,60.57,47.8,67.71,Kvartiry Posutochno.
467,marsa matruh,EG,73.4,31.35,27.25,Beau Site
468,dimbokro,CI,76.03,6.65,-4.7,complexe hôtelier le jardin d'Eden
469,koumac,NC,70.45,-20.57,164.28,Le Monitel
470,domoni,KM,76.17,-12.26,44.53,Loulou
472,chernyshkovskiy,RU,71.08,48.42,42.23,"The hotel ""Eugenia"""
473,russell,US,89.6,32.35,-85.2,Macs
474,bara,NG,84.63,10.37,10.73,
476,rincon,US,89.01,32.3,-81.24,Bent tree subdivision
477,cleburne,US,77.0,32.35,-97.39,Holiday Inn Express & Suites Cleburne
478,karabulak,RU,73.4,43.3,44.9,
479,ipora,BR,82.27,-16.44,-51.12,Oásis Motel
481,koryukivka,UA,62.91,51.77,32.25,Polissya
482,eidsvag,NO,62.6,62.78,8.07,Eidsvåg Fjordhotell
483,manjacaze,MZ,60.53,-24.71,33.88,Hotel Gani
484,le havre,FR,77.0,49.49,0.11,Oscar Hôtel
486,aurillac,FR,81.0,44.92,2.45,Hôtel Restaurant Campanile Aurillac
487,la asuncion,VE,82.36,11.03,-63.86,Colinas de Matasiete
488,rosarito,MX,75.99,32.33,-117.03,Hotel Festival Plaza Rosarito
491,kihei,US,82.4,20.79,-156.47,Maui Sunset
492,ambovombe,MG,64.87,-25.17,46.08,MONJA Talilisoa
494,barentu,ER,80.44,15.11,37.59,
495,omboue,GA,73.11,-1.57,9.26,Hotel Olako
496,navan,IE,63.0,53.65,-6.68,Ardboyne Hotel
497,lafiagi,NG,77.02,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
498,dubasari,MD,68.0,47.26,29.16,Днестровский Сад
499,batagay,RU,73.54,67.63,134.63,
500,pozo colorado,PY,89.58,-23.49,-58.8,Hospedaje la Amistad
503,pag,HR,71.6,44.45,15.06,Hotel Meridijan
504,bathsheba,BB,86.0,13.22,-59.52,Atlantis Hotel
507,sirur,IN,78.1,18.83,74.38,Hotel Sangram Palace
508,broome,US,84.0,42.25,-75.83,Chenango Valley State Park
509,cap malheureux,MU,68.0,-19.98,57.61,Pereybere Hotel & Spa
510,port hawkesbury,CA,80.6,45.62,-61.35,Hearthstone Inn Port Hawkesbury
511,dehloran,IR,96.15,32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
512,belmonte,BR,77.0,-15.86,-38.88,Pousada Monte Carmelo O Pão
513,goundam,ML,99.3,16.41,-3.67,
515,campbell river,CA,60.8,50.02,-125.24,Ramada by Wyndham Campbell River
516,howard springs,AU,73.4,-12.5,131.05,buffalo beach hostel
517,hobyo,SO,78.62,5.35,48.53,Osmani Hotel
518,oga,IT,68.0,46.46,10.35,Hotel San Lorenzo
519,wattens,AT,71.6,47.27,11.6,Goldener Adler
521,boa vista,BR,84.2,2.82,-60.67,Aipana Plaza Hotel
522,ponta do sol,PT,71.6,32.67,-17.1,Hotel do Campo
525,pisco,PE,66.99,-13.7,-76.22,Hostal San Isidro Oficial
527,northam,GB,69.01,51.03,-4.22,Durrant House Hotel
528,santa maria del oro,MX,90.09,25.93,-105.37,Hotel Palacio Del Sol
529,bidhuna,IN,91.54,26.8,79.51,santi bhavan
530,tibiri,NE,89.6,13.56,7.05,
531,sao filipe,CV,80.44,14.9,-24.5,Tortuga B&B
533,safaga,EG,96.8,26.73,33.94,Lamar Resort Abu Soma
535,hamilton,US,81.0,39.18,-84.53,Six Acres Bed & Breakfast
536,elat,IL,96.8,29.56,34.95,Club Hotel Eilat
537,mae hong son,TH,76.28,19.3,97.97,Baiyoke Chalet Hotel
538,shipley,GB,73.99,53.83,-1.77,Dubrovnik Hotel
539,ouadda,CF,71.28,8.08,22.4,
540,larsnes,NO,62.6,62.2,5.58,Liset Feriesenter AS
