City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,Hasaki,35.73,140.83,299.26,78,75,0.5,JP,2020-06-23 05:15:51
156,Lugo,43.0,-7.5,287.59,100,0,0.45,ES,2020-06-23 05:15:51
157,Airai,-8.93,125.41,294.31,67,3,1.99,TL,2020-06-23 05:15:51
158,Owensboro,37.77,-87.11,296.15,100,75,3.6,US,2020-06-23 05:15:51
159,Rock Sound,24.9,-76.2,300.81,85,29,5.03,BS,2020-06-23 05:15:52
160,Leh,34.17,77.58,290.37,25,0,1.86,IN,2020-06-23 05:15:52
161,Norman Wells,65.28,-126.83,286.15,93,90,2.1,CA,2020-06-23 05:15:49
162,Panjab,34.39,67.02,297.11,19,0,2.29,AF,2020-06-23 05:15:52
163,Bredasdorp,-34.53,20.04,277.15,100,6,1.77,ZA,2020-06-23 05:15:52
164,Asau,46.43,26.4,291.48,81,23,0.75,RO,2020-06-23 05:15:53
165,Meulaboh,4.14,96.13,298.21,83,100,3.34,ID,2020-06-23 05:14:11
166,Dubai,25.26,55.3,304.15,58,0,5.1,AE,2020-06-23 05:13:31
167,Daitari,21.1,85.75,304.14,62,25,3.12,IN,2020-06-23 05:15:53
168,Tiksi,71.69,128.87,284.96,59,0,2.21,RU,2020-06-23 05:15:53
169,Turayf,31.67,38.66,293.15,42,0,3.1,SA,2020-06-23 05:15:54
170,Inirida,3.87,-67.92,296.09,98,96,1.14,CO,2020-06-23 05:15:54
171,Lenger,42.18,69.88,307.15,16,99,7.0,KZ,2020-06-23 05:15:54
172,Ukiah,39.15,-123.21,303.15,30,1,0.48,US,2020-06-23 05:15:54
173,Narsaq,60.92,-46.05,281.15,65,0,1.5,GL,2020-06-23 05:15:54
174,Rawson,-43.3,-65.1,280.96,57,21,5.3,AR,2020-06-23 05:15:55
175,Clonakilty,51.62,-8.87,287.15,93,90,4.6,IE,2020-06-23 05:15:55
176,Amazar,53.86,120.88,295.29,38,71,3.59,RU,2020-06-23 05:15:55
177,Baykit,61.67,96.37,304.43,30,16,0.09,RU,2020-06-23 05:15:55
178,Coahuayana,18.73,-103.68,299.76,78,49,1.05,MX,2020-06-23 05:15:55
179,Buala,-8.14,159.59,302.08,68,87,1.29,SB,2020-06-23 05:15:56
180,Chipinge,-20.19,32.62,282.31,95,1,1.25,ZW,2020-06-23 05:15:56
181,Huarmey,-10.07,-78.15,289.66,85,71,2.78,PE,2020-06-23 05:15:56
182,Nakamura,32.98,132.93,301.5,49,0,1.42,JP,2020-06-23 05:15:56
183,Ilulissat,69.22,-51.1,277.15,93,32,3.1,GL,2020-06-23 05:15:57
184,Pisco,-13.7,-76.22,288.15,93,20,0.5,PE,2020-06-23 05:15:57
185,Broken Hill,-31.95,141.43,288.15,54,23,7.7,AU,2020-06-23 05:15:57
186,High Rock,26.62,-78.28,301.14,79,86,3.57,BS,2020-06-23 05:15:57
187,Dundee,56.5,-2.97,288.15,87,75,4.6,GB,2020-06-23 05:15:57
188,Saint-Medard-En-Jalles,44.9,-0.72,289.26,87,66,2.1,FR,2020-06-23 05:15:58
189,Dikson,73.51,80.55,281.51,73,60,6.79,RU,2020-06-23 05:15:58
190,Jiwani,25.05,61.74,303.45,71,11,4.19,PK,2020-06-23 05:15:58
191,Magadan,59.57,150.8,284.81,73,95,4.22,RU,2020-06-23 05:15:58
192,Vao,-22.67,167.48,295.53,75,26,4.91,NC,2020-06-23 05:15:58
193,Prescott,34.54,-112.47,297.15,16,1,3.1,US,2020-06-23 05:15:59
194,Turkistan,43.0,68.0,307.8,10,0,6.68,KZ,2020-06-23 05:15:59
195,Shalya,57.25,58.73,287.61,49,17,4.52,RU,2020-06-23 05:15:59
196,Husavik,66.04,-17.34,280.15,93,90,3.1,IS,2020-06-23 05:15:59
197,Ribeira Grande,38.52,-28.7,292.44,92,41,6.61,PT,2020-06-23 05:15:59
198,Jamestown,42.1,-79.24,293.15,93,90,1.5,US,2020-06-23 05:15:36
199,Scarborough,54.28,-0.4,288.15,80,0,1.79,GB,2020-06-23 05:16:00
200,Taoudenni,22.68,-3.98,307.55,9,1,6.58,ML,2020-06-23 05:16:00
201,Marystown,47.17,-55.15,287.36,98,100,3.53,CA,2020-06-23 05:16:00
202,Manta,-0.95,-80.73,295.63,89,89,4.01,EC,2020-06-23 05:16:00
203,Hambantota,6.12,81.12,304.15,70,90,4.1,LK,2020-06-23 05:16:01
204,Ostrovnoy,68.05,39.51,277.22,75,100,8.57,RU,2020-06-23 05:16:01
205,Byron Bay,-28.65,153.62,292.15,45,0,5.1,AU,2020-06-23 05:16:01
206,Gamba,-2.65,10.0,293.72,92,71,1.36,GA,2020-06-23 05:16:01
207,Dorogobuzh,54.91,33.3,288.38,97,100,3.71,RU,2020-06-23 05:16:01
208,Provideniya,64.38,-173.3,279.15,87,90,8.0,RU,2020-06-23 05:16:02
209,Lamu,-2.27,40.9,299.14,86,97,6.0,KE,2020-06-23 05:16:02
210,Deputatskiy,69.3,139.9,298.52,40,0,3.1,RU,2020-06-23 05:16:02
211,Sept-Iles,50.2,-66.38,287.15,87,90,1.5,CA,2020-06-23 05:11:32
212,Havelock,34.88,-76.9,299.82,78,1,3.6,US,2020-06-23 05:13:44
213,Aswan,24.09,32.91,307.37,11,0,4.9,EG,2020-06-23 05:16:04
214,Dingle,11.0,122.67,305.34,58,21,2.52,PH,2020-06-23 05:16:04
215,Northam,51.03,-4.22,286.48,89,6,3.58,GB,2020-06-23 05:16:05
216,Sterling,39.01,-77.43,294.82,88,40,1.47,US,2020-06-23 05:12:19
217,Jasper,37.2,-94.35,296.15,73,1,2.1,US,2020-06-23 05:16:06
218,Krasnoselkup,65.7,82.47,290.47,46,7,5.52,RU,2020-06-23 05:16:06
219,Biak,-0.91,122.88,301.36,71,34,4.25,ID,2020-06-23 05:16:06
220,Cap-Aux-Meules,47.38,-61.86,287.75,96,26,8.73,CA,2020-06-23 05:16:07
221,Tulsipur,28.13,82.3,303.98,56,42,1.9,NP,2020-06-23 05:16:07
222,Kieta,-6.22,155.63,302.22,70,20,1.3,PG,2020-06-23 05:16:07
223,Ambad,19.62,75.8,301.15,69,40,2.1,IN,2020-06-23 05:15:21
